project_id,stage,acquisition_date,sentinel_item_id,cloud_cover_percent,source_cog
01_kafd_riyadh,1,2017-01-16,S2A_38RPN_20170116_0_L2A,0.035348,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2017/1/S2A_38RPN_20170116_0_L2A/TCI.tif
01_kafd_riyadh,2,2020-08-28,S2A_38RPN_20200828_1_L2A,4e-05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2020/8/S2A_38RPN_20200828_1_L2A/TCI.tif
01_kafd_riyadh,3,2025-07-18,S2B_38RPN_20250718_0_L2A,6.6e-05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2025/7/S2B_38RPN_20250718_0_L2A/TCI.tif
02_riyadh_metro_west_depot,1,2017-01-16,S2A_38RPN_20170116_0_L2A,0.035348,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2017/1/S2A_38RPN_20170116_0_L2A/TCI.tif
02_riyadh_metro_west_depot,2,2020-08-28,S2A_38RPN_20200828_1_L2A,4e-05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2020/8/S2A_38RPN_20200828_1_L2A/TCI.tif
02_riyadh_metro_west_depot,3,2024-10-16,S2A_38RPN_20241016_0_L2A,1e-05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2024/10/S2A_38RPN_20241016_0_L2A/TCI.tif
03_six_flags_qiddiya,1,2018-05-31,S2A_38RPN_20180531_1_L2A,0,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2018/5/S2A_38RPN_20180531_1_L2A/TCI.tif
03_six_flags_qiddiya,2,2022-03-16,S2B_38RPN_20220316_0_L2A,0.000126,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2022/3/S2B_38RPN_20220316_0_L2A/TCI.tif
03_six_flags_qiddiya,3,2025-07-18,S2B_38RPN_20250718_0_L2A,6.6e-05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/38/R/PN/2025/7/S2B_38RPN_20250718_0_L2A/TCI.tif
04_red_sea_airport,1,2018-10-20,S2A_37RCJ_20181020_1_L2A,0.014381,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/37/R/CJ/2018/10/S2A_37RCJ_20181020_1_L2A/TCI.tif
04_red_sea_airport,2,2021-12-25,S2B_37RCJ_20211225_1_L2A,0.006196,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/37/R/CJ/2021/12/S2B_37RCJ_20211225_1_L2A/TCI.tif
04_red_sea_airport,3,2024-12-14,S2A_37RCJ_20241214_0_L2A,0.003234,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/37/R/CJ/2024/12/S2A_37RCJ_20241214_0_L2A/TCI.tif
05_sheybarah_resort,1,2018-10-20,S2A_36RZP_20181020_1_L2A,0.054084,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/36/R/ZP/2018/10/S2A_36RZP_20181020_1_L2A/TCI.tif
05_sheybarah_resort,2,2021-11-08,S2B_36RZP_20211108_1_L2A,0.037711,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/36/R/ZP/2021/11/S2B_36RZP_20211108_1_L2A/TCI.tif
05_sheybarah_resort,3,2024-10-08,S2A_37RBJ_20241008_0_L2A,0.037392,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/37/R/BJ/2024/10/S2A_37RBJ_20241008_0_L2A/TCI.tif
06_spark_energy_park,1,2018-09-30,S2B_39RUJ_20180930_1_L2A,0.005136,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/39/R/UJ/2018/9/S2B_39RUJ_20180930_1_L2A/TCI.tif
06_spark_energy_park,2,2021-10-14,S2B_39RUJ_20211014_1_L2A,0.003332,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/39/R/UJ/2021/10/S2B_39RUJ_20211014_1_L2A/TCI.tif
06_spark_energy_park,3,2025-10-23,S2B_39RUJ_20251023_0_L2A,0.008347,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/39/R/UJ/2025/10/S2B_39RUJ_20251023_0_L2A/TCI.tif
